assessor_objectid,parcelid,name,address,adrcity,lat,lon,parcel_count,review_reason
1608562,400-11950-025-000E,CONES ROAD MISSIONARY BAPTIST,401  CONES RD,HOT SPRINGS,34.49664255926638,-93.03270006524964,1,assessor_included_on_map
1608580,400-67750-003-000E,VISTA HEIGHTS BAPTIST CHURCH,308  VISTA  AVE,HOT SPRINGS,34.492893820551146,-93.04522353455297,1,assessor_included_on_map
1608625,400-25500-003-000E,FIRST CHRISTIAN CHURCH,1806  CENTRAL AVE,HOT SPRINGS,34.495361531568136,-93.05897946206784,4,assessor_included_on_map
1608626,400-46175-010-000,"CHURCH OF THE OPEN DOOR, THE",700  SOUTH ST,HOT SPRINGS,34.49743347429028,-93.06901626420778,1,assessor_included_on_map
1609097,400-05750-068-000E,THE CHURCH OF CHRIST,104  PORTLAND ST,HOT SPRINGS,34.50340175378304,-93.03689799724988,1,assessor_included_on_map
1609347,400-02100-001-000E,WOODRIDGE CHURCH OF CHRIST,133  WOODRIDGE ST,HOT SPRINGS,34.50106277440893,-93.03793896497997,1,assessor_included_on_map
1609501,400-47350-007-000E,FIRST FREE WILL BAPTIST CHURCH,901 W ST LOUIS ST,HOT SPRINGS,34.49051718257387,-93.06892781915003,1,assessor_included_on_map
1609650,400-26150-012-000,FIRST UNITED METHODIST CHURCH,CENTRAL AVE,HOT SPRINGS,34.5056501801168,-93.05570637809991,2,assessor_included_on_map
1609923,400-27800-029-000E,ST PHILLIPS CHURCH OF GOD IN,237  WALNUT ST,HOT SPRINGS,34.51843867953663,-93.06199507648317,2,assessor_included_on_map
1609938,400-27550-001-000,FIRST PRESBYTERIAN CHURCH,217  WHITTINGTON AVE,HOT SPRINGS,34.5169471676052,-93.05827400760795,1,assessor_included_on_map
1610174,400-48000-043-000E,"OAKLAWN METHODIST CH., TR.",219  WOODLAWN AVE,HOT SPRINGS,34.481260130062154,-93.06112203802421,1,assessor_included_on_map
1610699,400-67600-002-000E,FIRST EVANG. LUTHERAN CHURCH,VILLAGE RD,HOT SPRINGS,34.467004810829785,-93.08907185509977,1,assessor_included_on_map
1611507,300-07745-000E,LEONARD STREET BAPTIST CHURCH,625  LEONARD ST,HOT SPRINGS,34.47953689592976,-93.07212964554927,1,assessor_included_on_map
1611714,300-05238-000E,FIRST PENTECOSTAL CH. OF GOD,2341  PARK AVE,HOT SPRINGS,34.54850320499606,-93.01842833881119,1,assessor_included_on_map
1611866,400-17700-124-000E,JESUS IS THE KING CHURCH,121  YERGER ST,HOT SPRINGS,34.5027546758928,-93.02984718496513,2,assessor_included_on_map
1639038,400-19475-003-001,FIRST CHURCH OF CHRIST SCIENTIST,808  CENTRAL AVE,HOT SPRINGS,34.50924195218089,-93.05438849753214,1,assessor_included_on_map
1645860,400-28400-013-000E,HAVEN UNITED METHODIST CHURCH,655  PARK AVE,HOT SPRINGS,34.52576977042242,-93.0532411708555,1,assessor_included_on_map
1649635,400-12150-015-000E,FIRST BAPTIST CHURCH OF HOT,LEACH ST,HOT SPRINGS,34.489175220903874,-93.06062292859403,1,assessor_included_on_map
