stop,route,route_stop,filmed,church_id,name,address,denomination,shot_status,confidence,lat,lon,maps_link,visited,notes
88,Route 06 — South West (11 stops),2,,hs-0046,Gardner United Methodist Church,,Methodist,pending,low,34.490091,-93.092681,"https://www.google.com/maps/dir/?api=1&destination=34.4900915,-93.0926811",,
89,Route 06 — South West (11 stops),3,,hs-0085,RECTOR HEIGHTS BAPTIST CHURCH,116  MASTERS PL,Baptist,pending,low,34.495523,-93.092202,"https://www.google.com/maps/dir/?api=1&destination=34.49552337868032,-93.09220162732313",,
90,Route 06 — South West (11 stops),4,,hs-0112,TEMPLE BAPTIST CHURCH,2001  HOBSON AVE,Baptist,pending,low,34.498005,-93.086333,"https://www.google.com/maps/dir/?api=1&destination=34.4980046992749,-93.08633301925732",,
91,Route 06 — South West (11 stops),5,,hs-0119,UNITY CHURCH OF GOD IN CHRIST,211  MOUNTAIN VIEW ST,Pentecostal,pending,low,34.496846,-93.080034,"https://www.google.com/maps/dir/?api=1&destination=34.496845682662155,-93.08003352015241",,
92,Route 06 — South West (11 stops),6,,hs-0034,FIRST CHURCH OF THE NAZARENE,HOBSON AVE,Unknown,pending,low,34.498067,-93.076205,"https://www.google.com/maps/dir/?api=1&destination=34.498067294378686,-93.07620456622847",,
93,Route 06 — South West (11 stops),7,,hs-0024,EBENEZER BAPTIST CHURCH,WOOD ST,Baptist,pending,low,34.499441,-93.076806,"https://www.google.com/maps/dir/?api=1&destination=34.49944110332478,-93.07680595215609",,
94,Route 06 — South West (11 stops),8,,hs-0081,"PARISH, CLAUDE DYLAN",123  PHILLIPS ST,Unknown,pending,low,34.492159,-93.079718,"https://www.google.com/maps/dir/?api=1&destination=34.492158977383426,-93.07971803108803",,
95,Route 06 — South West (11 stops),9,,hs-0055,Highland Presbyterian Church,107  BURROUGHS ST,Presbyterian,pending,medium,34.489812,-93.078514,"https://www.google.com/maps/dir/?api=1&destination=34.4898116,-93.0785136",,
96,Route 06 — South West (11 stops),10,,hs-0106,SOUTHWEST MISSIONARY BAPTIST,112  DEXTER ST,Baptist,pending,medium,34.490414,-93.082138,"https://www.google.com/maps/dir/?api=1&destination=34.49041380168513,-93.08213767616799",,
97,Route 06 — South West (11 stops),11,,hs-0070,Mount Tabor Baptist Church,116 Mt Tabor Road,Baptist,pending,medium,34.494568,-93.110988,"https://www.google.com/maps/dir/?api=1&destination=34.4945682,-93.1109884",,
98,Route 07 — South West (10 stops),1,,hs-0065,LAKESHORE HEIGHTS BAPTIST CHURCH,LAKESHORE & CHAPPEL HILL,Baptist,pending,low,34.466268,-93.102888,"https://www.google.com/maps/dir/?api=1&destination=34.46626795887022,-93.10288838018992",,
99,Route 07 — South West (10 stops),2,,hs-0079,OAKLAWN UNITED METHODIST CH.,110  OXFORD ST,Methodist,pending,low,34.467122,-93.097890,"https://www.google.com/maps/dir/?api=1&destination=34.46712205608687,-93.0978901818999",,
100,Route 07 — South West (10 stops),3,,hs-0035,First Evangelical Lutheran Church,105 Village Road,Lutheran,pending,low,34.467005,-93.089072,"https://www.google.com/maps/dir/?api=1&destination=34.467004810829785,-93.08907185509977",,
101,Route 07 — South West (10 stops),4,,hs-0007,Charity Heights Baptist Church,,Baptist,pending,low,34.475276,-93.079571,"https://www.google.com/maps/dir/?api=1&destination=34.4752758,-93.0795708",,
102,Route 07 — South West (10 stops),5,,hs-0072,NATIONAL PARK CHURCH OF CHRIST,320  LAKESHORE DR,Church of Christ,pending,low,34.472143,-93.074254,"https://www.google.com/maps/dir/?api=1&destination=34.472143176834344,-93.0742535792851",,
103,Route 07 — South West (10 stops),6,,hs-0067,LEONARD STREET BAPTIST CHURCH,625  LEONARD ST,Baptist,pending,low,34.479537,-93.072130,"https://www.google.com/maps/dir/?api=1&destination=34.47953689592976,-93.07212964554927",,
104,Route 07 — South West (10 stops),7,,hs-0082,PENTECOSTAL LIGHT HOUSE CH,712  LEONARD ST,Pentecostal,pending,low,34.480251,-93.074011,"https://www.google.com/maps/dir/?api=1&destination=34.48025073603814,-93.07401079015357",,
